alus_id;nimi;alustyyppi;Tilakoodi;Ensirekisterointipvm;Uusikotimaa;Vanhakotimaa;Rakennusvuosi;Rakennusmaa;Rakennuspaikka;omistajuustyyppi;asiakkaan_kuntatieto;aluksen_satamapaikka;Kantavuus;JaaluokkaKoodi;Nettovetoisuus;Bruttovetoisuus;Pituus;Suurinpituus;Mallisyvays;Mallikorkeus;Leveys;
"315";"VELLAMO";"5";"VESSEL_REGISTERED_FI";"01.02.1990";"";"246";"1990";"246";"Virrat";"3";"936";"Jyväskylä";"";"";"89";"232";"29,99";"";"2,03";"2,70";"6,80";
"316";"Chapman";"5";"VESSEL_REGISTERED_FI";"20.01.1988";"";"246";"";"";"";"1";"091";"Helsinki";"";"";"38";"66";"18,85";"";"1,46";"1,95";"5,26";
"316";"Chapman";"5";"VESSEL_REGISTERED_FI";"20.01.1988";"";"246";"1988";"246";"Virrat";"3";"936";"Helsinki";"";"";"38";"66";"18,85";"";"1,46";"1,95";"5,26";
"317";"Finlandia Princess";"5";"VESSEL_REGISTERED_FI";"02.06.2015";"276";"246";"";"";"";"1";"743";"Helsinki";"";"";"96";"247";"28,76";"";"1,13";"1,50";"6,36";
"317";"Finlandia Princess";"5";"VESSEL_REGISTERED_FI";"02.06.2015";"276";"246";"";"";"";"2";"199";"Helsinki";"";"";"96";"247";"28,76";"";"1,13";"1,50";"6,36";
"317";"Finlandia Princess";"5";"VESSEL_REGISTERED_FI";"02.06.2015";"276";"246";"1992";"246";"Virrat";"3";"936";"Helsinki";"";"";"96";"247";"28,76";"";"1,13";"1,50";"6,36";
"318";"Ahti";"11";"VESSEL_REGISTERED_FI";"29.06.1988";"";"246";"";"";"";"1";"240";"Kemi";"";"";"6";"20";"12,24";"13,00";"1,35";"1,80";"3,54";
"318";"Ahti";"11";"VESSEL_REGISTERED_FI";"29.06.1988";"";"246";"1976";"246";"Kemi";"3";"199";"Kemi";"";"";"6";"20";"12,24";"13,00";"1,35";"1,80";"3,54";
"319";"Merisilta";"6";"VESSEL_REGISTERED_FI";"30.06.1988";"";"246";"";"";"";"1";"853";"Turku";"290";"";"228";"760";"59,70";"";"3,60";"5,30";"12,00";
"319";"Merisilta";"6";"VESSEL_REGISTERED_FI";"30.06.1988";"";"246";"";"";"";"2";"853";"Turku";"290";"";"228";"760";"59,70";"";"3,60";"5,30";"12,00";
"319";"Merisilta";"6";"VESSEL_REGISTERED_FI";"30.06.1988";"";"246";"1987";"246";"Uusikaupunki";"3";"609";"Turku";"290";"";"228";"760";"59,70";"";"3,60";"5,30";"12,00";
"320";"CAMILLA";"5";"VESSEL_REGISTERED_FI";"28.05.1990";"";"999";"";"";"";"2";"405";"Lappeenranta";"";"";"133";"334";"28,61";"";"2,54";"3,38";"8,41";
